id_performance;id_employe;date_evaluation;score;objectifs_atteints
1;1;01/01/2022;75;True
2;1;01/04/2022;60;False
3;1;01/07/2022;51;True
4;1;01/10/2022;57;True
5;1;01/01/2023;60;True
6;1;01/04/2023;67;True
7;1;01/07/2023;99;False
8;1;01/10/2023;59;True
9;1;01/01/2024;58;True
10;1;01/04/2024;60;True
11;1;01/07/2024;93;False
12;1;01/10/2024;52;True
13;2;01/01/2022;88;False
14;2;01/04/2022;77;True
15;2;01/07/2022;88;True
16;2;01/10/2022;70;False
17;2;01/01/2023;92;True
18;2;01/04/2023;68;False
19;2;01/07/2023;71;True
20;2;01/10/2023;93;False
21;2;01/01/2024;99;True
22;2;01/04/2024;62;True
23;2;01/07/2024;53;False
24;2;01/10/2024;63;False
25;3;01/01/2022;58;True
26;3;01/04/2022;84;True
27;3;01/07/2022;70;False
28;3;01/10/2022;67;True
29;3;01/01/2023;57;True
30;3;01/04/2023;98;False
31;3;01/07/2023;66;True
32;3;01/10/2023;80;False
33;3;01/01/2024;55;False
34;3;01/04/2024;63;True
35;3;01/07/2024;61;False
36;3;01/10/2024;61;True
37;4;01/01/2022;51;False
38;4;01/04/2022;64;True
39;4;01/07/2022;78;True
40;4;01/10/2022;81;True
41;4;01/01/2023;79;False
42;4;01/04/2023;63;False
43;4;01/07/2023;79;True
44;4;01/10/2023;81;False
45;4;01/01/2024;55;True
46;4;01/04/2024;73;False
47;4;01/07/2024;76;False
48;4;01/10/2024;73;True
49;5;01/01/2022;73;False
50;5;01/04/2022;83;False
51;5;01/07/2022;96;True
52;5;01/10/2022;60;False
53;5;01/01/2023;73;True
54;5;01/04/2023;67;False
55;5;01/07/2023;61;True
56;5;01/10/2023;92;False
57;5;01/01/2024;89;False
58;5;01/04/2024;56;True
59;5;01/07/2024;70;False
60;5;01/10/2024;60;False
61;6;01/01/2022;91;True
62;6;01/04/2022;78;False
63;6;01/07/2022;77;True
64;6;01/10/2022;67;False
65;6;01/01/2023;67;False
66;6;01/04/2023;73;False
67;6;01/07/2023;91;False
68;6;01/10/2023;94;True
69;6;01/01/2024;57;False
70;6;01/04/2024;76;False
71;6;01/07/2024;54;True
72;6;01/10/2024;98;False
73;7;01/01/2022;79;False
74;7;01/04/2022;88;True
75;7;01/07/2022;96;False
76;7;01/10/2022;86;False
77;7;01/01/2023;56;True
78;7;01/04/2023;89;False
79;7;01/07/2023;88;False
80;7;01/10/2023;88;False
81;7;01/01/2024;63;True
82;7;01/04/2024;99;False
83;7;01/07/2024;53;False
84;7;01/10/2024;67;False
85;8;01/01/2022;97;True
86;8;01/04/2022;56;False
87;8;01/07/2022;77;True
88;8;01/10/2022;52;False
89;8;01/01/2023;80;True
90;8;01/04/2023;91;False
91;8;01/07/2023;69;True
92;8;01/10/2023;97;False
93;8;01/01/2024;60;False
94;8;01/04/2024;52;True
95;8;01/07/2024;56;True
96;8;01/10/2024;56;False
97;9;01/01/2022;83;False
98;9;01/04/2022;68;False
99;9;01/07/2022;58;False
100;9;01/10/2022;67;True
101;9;01/01/2023;97;True
102;9;01/04/2023;91;True
103;9;01/07/2023;63;False
104;9;01/10/2023;74;True
105;9;01/01/2024;88;True
106;9;01/04/2024;64;False
107;9;01/07/2024;76;False
108;9;01/10/2024;59;True
109;10;01/01/2022;53;True
110;10;01/04/2022;68;True
111;10;01/07/2022;77;True
112;10;01/10/2022;96;False
113;10;01/01/2023;82;False
114;10;01/04/2023;59;True
115;10;01/07/2023;79;False
116;10;01/10/2023;52;True
117;10;01/01/2024;90;False
118;10;01/04/2024;60;False
119;10;01/07/2024;51;False
120;10;01/10/2024;55;True
121;11;01/01/2022;89;False
122;11;01/04/2022;78;True
123;11;01/07/2022;79;False
124;11;01/10/2022;58;True
125;11;01/01/2023;51;True
126;11;01/04/2023;82;False
127;11;01/07/2023;83;False
128;11;01/10/2023;57;True
129;11;01/01/2024;82;True
130;11;01/04/2024;55;False
131;11;01/07/2024;89;True
132;11;01/10/2024;68;False
133;12;01/01/2022;76;True
134;12;01/04/2022;92;False
135;12;01/07/2022;82;False
136;12;01/10/2022;89;False
137;12;01/01/2023;54;True
138;12;01/04/2023;57;True
139;12;01/07/2023;91;False
140;12;01/10/2023;58;False
141;12;01/01/2024;72;True
142;12;01/04/2024;99;True
143;12;01/07/2024;64;True
144;12;01/10/2024;69;False
145;13;01/01/2022;74;True
146;13;01/04/2022;95;False
147;13;01/07/2022;83;False
148;13;01/10/2022;71;True
149;13;01/01/2023;97;False
150;13;01/04/2023;88;True
151;13;01/07/2023;84;True
152;13;01/10/2023;95;False
153;13;01/01/2024;57;False
154;13;01/04/2024;86;True
155;13;01/07/2024;77;False
156;13;01/10/2024;83;False
157;14;01/01/2022;64;False
158;14;01/04/2022;66;True
159;14;01/07/2022;96;False
160;14;01/10/2022;65;True
161;14;01/01/2023;58;True
162;14;01/04/2023;98;True
163;14;01/07/2023;62;True
164;14;01/10/2023;70;True
165;14;01/01/2024;59;False
166;14;01/04/2024;62;True
167;14;01/07/2024;69;True
168;14;01/10/2024;96;False
169;15;01/01/2022;57;False
170;15;01/04/2022;58;True
171;15;01/07/2022;90;True
172;15;01/10/2022;60;False
173;15;01/01/2023;59;True
174;15;01/04/2023;98;True
175;15;01/07/2023;74;True
176;15;01/10/2023;85;True
177;15;01/01/2024;75;False
178;15;01/04/2024;88;False
179;15;01/07/2024;89;True
180;15;01/10/2024;53;True
181;16;01/01/2022;79;False
182;16;01/04/2022;84;True
183;16;01/07/2022;80;False
184;16;01/10/2022;92;True
185;16;01/01/2023;53;False
186;16;01/04/2023;65;True
187;16;01/07/2023;71;True
188;16;01/10/2023;60;False
189;16;01/01/2024;82;False
190;16;01/04/2024;78;False
191;16;01/07/2024;88;False
192;16;01/10/2024;56;False
193;17;01/01/2022;88;False
194;17;01/04/2022;97;False
195;17;01/07/2022;89;True
196;17;01/10/2022;90;False
197;17;01/01/2023;94;True
198;17;01/04/2023;85;True
199;17;01/07/2023;73;False
200;17;01/10/2023;66;False
201;17;01/01/2024;62;True
202;17;01/04/2024;78;False
203;17;01/07/2024;77;False
204;17;01/10/2024;76;True
205;18;01/01/2022;80;False
206;18;01/04/2022;64;True
207;18;01/07/2022;69;False
208;18;01/10/2022;61;True
209;18;01/01/2023;58;True
210;18;01/04/2023;57;False
211;18;01/07/2023;97;False
212;18;01/10/2023;76;True
213;18;01/01/2024;62;True
214;18;01/04/2024;70;True
215;18;01/07/2024;80;True
216;18;01/10/2024;97;False
217;19;01/01/2022;92;False
218;19;01/04/2022;54;True
219;19;01/07/2022;77;True
220;19;01/10/2022;74;True
221;19;01/01/2023;84;True
222;19;01/04/2023;88;True
223;19;01/07/2023;87;False
224;19;01/10/2023;52;False
225;19;01/01/2024;94;True
226;19;01/04/2024;86;True
227;19;01/07/2024;99;False
228;19;01/10/2024;57;True
229;20;01/01/2022;76;True
230;20;01/04/2022;95;True
231;20;01/07/2022;91;False
232;20;01/10/2022;97;False
233;20;01/01/2023;76;False
234;20;01/04/2023;57;True
235;20;01/07/2023;91;True
236;20;01/10/2023;98;False
237;20;01/01/2024;78;False
238;20;01/04/2024;69;False
239;20;01/07/2024;66;False
240;20;01/10/2024;68;False
241;21;01/01/2022;57;False
242;21;01/04/2022;87;True
243;21;01/07/2022;78;True
244;21;01/10/2022;85;False
245;21;01/01/2023;80;False
246;21;01/04/2023;61;True
247;21;01/07/2023;66;True
248;21;01/10/2023;58;True
249;21;01/01/2024;91;False
250;21;01/04/2024;61;False
251;21;01/07/2024;74;True
252;21;01/10/2024;67;True
253;22;01/01/2022;81;False
254;22;01/04/2022;93;True
255;22;01/07/2022;84;False
256;22;01/10/2022;87;False
257;22;01/01/2023;54;False
258;22;01/04/2023;65;False
259;22;01/07/2023;74;False
260;22;01/10/2023;75;False
261;22;01/01/2024;71;True
262;22;01/04/2024;92;False
263;22;01/07/2024;61;True
264;22;01/10/2024;77;False
265;23;01/01/2022;69;True
266;23;01/04/2022;72;True
267;23;01/07/2022;78;False
268;23;01/10/2022;95;False
269;23;01/01/2023;57;True
270;23;01/04/2023;69;True
271;23;01/07/2023;63;True
272;23;01/10/2023;86;False
273;23;01/01/2024;83;True
274;23;01/04/2024;89;True
275;23;01/07/2024;80;True
276;23;01/10/2024;93;False
277;24;01/01/2022;99;True
278;24;01/04/2022;98;False
279;24;01/07/2022;72;False
280;24;01/10/2022;56;False
281;24;01/01/2023;74;True
282;24;01/04/2023;52;True
283;24;01/07/2023;87;False
284;24;01/10/2023;83;True
285;24;01/01/2024;93;False
286;24;01/04/2024;93;False
287;24;01/07/2024;66;True
288;24;01/10/2024;59;True
289;25;01/01/2022;69;False
290;25;01/04/2022;67;True
291;25;01/07/2022;93;True
292;25;01/10/2022;98;False
293;25;01/01/2023;72;False
294;25;01/04/2023;59;True
295;25;01/07/2023;87;False
296;25;01/10/2023;90;False
297;25;01/01/2024;96;False
298;25;01/04/2024;85;True
299;25;01/07/2024;66;False
300;25;01/10/2024;89;False
301;26;01/01/2022;61;True
302;26;01/04/2022;89;True
303;26;01/07/2022;52;False
304;26;01/10/2022;68;True
305;26;01/01/2023;55;False
306;26;01/04/2023;57;False
307;26;01/07/2023;67;False
308;26;01/10/2023;97;True
309;26;01/01/2024;88;False
310;26;01/04/2024;98;True
311;26;01/07/2024;61;True
312;26;01/10/2024;59;True
313;27;01/01/2022;95;True
314;27;01/04/2022;50;True
315;27;01/07/2022;85;True
316;27;01/10/2022;86;False
317;27;01/01/2023;73;True
318;27;01/04/2023;74;True
