cohorte,nombre_embauches,retention_3_mois,retention_6_mois,retention_12_mois
2019-01,31,100.00,100.00,96.77
2019-02,23,100.00,100.00,100.00
2019-03,23,100.00,100.00,91.30
2019-04,31,100.00,100.00,100.00
2019-05,26,100.00,100.00,100.00
2019-06,23,100.00,100.00,95.65
2019-07,21,100.00,100.00,95.24
2019-08,25,100.00,100.00,100.00
2019-09,22,100.00,100.00,100.00
2019-10,17,100.00,100.00,100.00
2019-11,15,100.00,100.00,100.00
2019-12,23,100.00,100.00,100.00
2020-01,22,100.00,100.00,95.45
2020-02,24,100.00,100.00,100.00
2020-03,19,100.00,100.00,94.74
2020-04,23,100.00,100.00,95.65
2020-05,27,100.00,100.00,100.00
2020-06,21,100.00,100.00,95.24
2020-07,28,100.00,100.00,100.00
2020-08,16,100.00,100.00,100.00
2020-09,21,100.00,100.00,90.48
2020-10,31,100.00,100.00,100.00
2020-11,31,100.00,100.00,100.00
2020-12,25,100.00,100.00,92.00
2021-01,28,100.00,100.00,96.43
2021-02,25,100.00,100.00,100.00
2021-03,34,100.00,100.00,100.00
2021-04,30,100.00,100.00,100.00
2021-05,32,100.00,100.00,100.00
2021-06,24,100.00,100.00,95.83
2021-07,21,100.00,100.00,95.24
2021-08,30,100.00,100.00,100.00
2021-09,22,100.00,100.00,100.00
2021-10,32,100.00,100.00,100.00
2021-11,26,100.00,100.00,96.15
2021-12,27,100.00,100.00,96.30
2022-01,24,100.00,100.00,95.83
2022-02,25,100.00,100.00,100.00
2022-03,27,100.00,100.00,100.00
2022-04,29,100.00,100.00,100.00
2022-05,25,100.00,100.00,100.00
2022-06,31,100.00,100.00,100.00
2022-07,24,100.00,100.00,100.00
2022-08,25,100.00,100.00,100.00
2022-09,22,100.00,100.00,100.00
2022-10,31,100.00,100.00,96.77
2022-11,25,100.00,100.00,100.00
2022-12,29,100.00,100.00,100.00
2023-01,23,100.00,100.00,100.00
2023-02,21,100.00,100.00,100.00
2023-03,32,100.00,100.00,100.00
2023-04,17,100.00,100.00,100.00
2023-05,22,100.00,100.00,100.00
2023-06,25,100.00,100.00,92.00
2023-07,27,100.00,100.00,100.00
2023-08,32,100.00,100.00,96.88
2023-09,24,100.00,100.00,100.00
2023-10,18,100.00,100.00,100.00
2023-11,16,100.00,100.00,93.75
2023-12,27,100.00,100.00,100.00
